word,translation,language,category,subcategory,part_of_speech,curriculum_level,example_sentence,example_translation,gender,article,base_word,,
escuchar al profesor,to listen to the teacher,ES,school_jobs_future,school_rules,verb_phrase,KS3,Los alumnos deben escuchar al profesor.,Students must listen to the teacher.,,,escuchar al profesor,,
ser puntual,to be punctual,ES,school_jobs_future,school_rules,verb_phrase,KS3,Es importante ser puntual para las clases.,It is important to be punctual for classes.,,,ser puntual,,
comer chicle,to chew gum,ES,school_jobs_future,school_rules,verb_phrase,KS3,No se permite comer chicle en clase.,Chewing gum in class is not permitted.,,,comer chicle,,
salir del instituto,to leave the school (during school hours),ES,school_jobs_future,school_rules,verb_phrase,KS3,No se debe salir del instituto durante el día escolar.,One must not leave the school during the school day.,,,salir del instituto,,
ser grosero,to be rude,ES,school_jobs_future,school_rules,verb_phrase,KS3,Los alumnos no deben ser groseros.,Students must not be rude.,,,ser grosero,,
ser desobediente,to be disobedient,ES,school_jobs_future,school_rules,verb_phrase,KS3,Es importante no ser desobediente.,It is important not to be disobedient.,,,ser desobediente,,
respetar las normas,to respect the rules,ES,school_jobs_future,school_rules,verb_phrase,KS3,Hay que respetar las normas de la escuela.,One must respect the school rules.,,,respetar las normas,,
entregar los deberes a tiempo,to hand in homework on time,ES,school_jobs_future,school_rules,verb_phrase,KS3,Debes entregar los deberes a tiempo.,You must hand in homework on time.,,,entregar los deberes a tiempo,,
hablar en clase,to talk in class,ES,school_jobs_future,school_rules,verb_phrase,KS3,No se permite hablar en clase sin permiso.,Talking in class without permission is not allowed.,,,hablar en clase,,
usar dispositivos electrónicos,to use electronic devices,ES,school_jobs_future,school_rules,verb_phrase,KS3,Se prohíbe usar dispositivos electrónicos en los exámenes.,Using electronic devices in exams is forbidden.,,,usar dispositivos electrónicos,,
il est interdit,it is forbidden (impersonal),FR,school_jobs_future,school_rules,verb_phrase,KS3,Il est interdit de fumer dans le bâtiment.,Smoking is forbidden in the building.,,,il est interdit,,
il est défendu,"it is forbidden (state, strong)",FR,school_jobs_future,school_rules,verb_phrase,KS3,Il est défendu de courir dans les couloirs.,Running in the corridors is forbidden.,,,il est défendu,,
il n'est pas permis,it is not permitted,FR,school_jobs_future,school_rules,verb_phrase,KS3,Il n'est pas permis d'utiliser le portable en classe.,Using mobile phones in class is not permitted.,,,il n'est pas permis,,
il faut,one must / it is necessary to,FR,school_jobs_future,school_rules,verb_phrase,KS3,Il faut écouter le professeur.,One must listen to the teacher.,,,il faut,,
il ne faut pas,one must not / it is not necessary to,FR,school_jobs_future,school_rules,verb_phrase,KS3,Il ne faut pas manger à la bibliothèque.,One must not eat in the library.,,,il ne faut pas,,
tu dois,you must (informal),FR,school_jobs_future,school_rules,verb_phrase,KS3,Tu dois être ponctuel.,You must be punctual.,,,tu dois,,
tu ne dois pas,you must not (informal),FR,school_jobs_future,school_rules,verb_phrase,KS3,Tu ne dois pas courir dans la salle de classe.,You must not run in the classroom.,,,tu ne dois pas,,
fumer,to smoke,FR,school_jobs_future,school_rules,verb,KS3,Il est interdit de fumer à l'école.,Smoking is forbidden in the school.,,,fumer,,
courir dans les couloirs,to run in the corridors,FR,school_jobs_future,school_rules,verb_phrase,KS3,Il ne faut pas courir dans les couloirs.,One must not run in the corridors.,,,courir dans les couloirs,,
utiliser le portable en classe,to use the mobile in class,FR,school_jobs_future,school_rules,verb_phrase,KS3,Il n'est pas permis d'utiliser le portable en classe.,Using mobile phones in class is not permitted.,,,utiliser le portable en classe,,
porter l'uniforme,to wear uniform,FR,school_jobs_future,school_rules,verb_phrase,KS3,Tu dois porter l'uniforme chaque jour.,You must wear uniform every day.,,,porter l'uniforme,,
porter du maquillage,to wear makeup,FR,school_jobs_future,school_rules,verb_phrase,KS3,Il est interdit de porter du maquillage.,Wearing makeup is forbidden.,,,porter du maquillage,,
porter des bijoux et des piercings,to wear jewelry and piercings,FR,school_jobs_future,school_rules,verb_phrase,KS3,Il est interdit de porter des bijoux et des piercings.,Wearing jewelry and piercings is forbidden.,,,porter des bijoux et des piercings,,
écouter le professeur,to listen to the teacher,FR,school_jobs_future,school_rules,verb_phrase,KS3,Les élèves doivent écouter le professeur.,Students must listen to the teacher.,,,écouter le professeur,,
être ponctuel,to be punctual,FR,school_jobs_future,school_rules,verb_phrase,KS3,Il est important d'être ponctuel pour les cours.,It is important to be punctual for classes.,,,être ponctuel,,
mâcher du chewing-gum,to chew gum,FR,school_jobs_future,school_rules,verb_phrase,KS3,Il n'est pas permis de mâcher du chewing-gum en classe.,Chewing gum in class is not permitted.,,,mâcher du chewing-gum,,
quitter l'école,to leave school (during school hours),FR,school_jobs_future,school_rules,verb_phrase,KS3,Il ne faut pas quitter l'école pendant la journée scolaire.,One must not leave the school during the school day.,,,quitter l'école,,
être impoli,to be rude,FR,school_jobs_future,school_rules,verb_phrase,KS3,Les élèves ne doivent pas être impolis.,Students must not be rude.,,,être impoli,,
être désobéissant,to be disobedient,FR,school_jobs_future,school_rules,verb_phrase,KS3,Il est important de ne pas être désobéissant.,It is important not to be disobedient.,,,être désobéissant,,
respecter les règles,to respect the rules,FR,school_jobs_future,school_rules,verb_phrase,KS3,Il faut respecter les règles de l'école.,One must respect the school rules.,,,respecter les règles,,
rendre les devoirs à temps,to hand in homework on time,FR,school_jobs_future,school_rules,verb_phrase,KS3,Tu dois rendre tes devoirs à temps.,You must hand in homework on time.,,,rendre les devoirs à temps,,
parler en classe,to talk in class,FR,school_jobs_future,school_rules,verb_phrase,KS3,Il n'est pas permis de parler en classe sans permission.,Talking in class without permission is not allowed.,,,parler en classe,,
utiliser des appareils électroniques,to use electronic devices,FR,school_jobs_future,school_rules,verb_phrase,KS3,Il est interdit d'utiliser des appareils électroniques aux examens.,Using electronic devices in exams is forbidden.,,,utiliser des appareils électroniques,,
es ist verboten,it is forbidden,DE,school_jobs_future,school_rules,verb_phrase,KS3,"Es ist verboten, im Gebäude zu rauchen.",Smoking is forbidden in the building.,,,es ist verboten,,
man darf nicht,one must not / you must not (general),DE,school_jobs_future,school_rules,verb_phrase,KS3,Man darf nicht in der Bibliothek essen.,One must not eat in the library.,,,man darf nicht,,
man muss,one must / you must (general),DE,school_jobs_future,school_rules,verb_phrase,KS3,Man muss dem Lehrer zuhören.,One must listen to the teacher.,,,man muss,,
du musst,you must (informal),DE,school_jobs_future,school_rules,verb_phrase,KS3,Du musst pünktlich sein.,You must be punctual.,,,du musst,,
du darfst nicht,you are not allowed to (informal),DE,school_jobs_future,school_rules,verb_phrase,KS3,Du darfst nicht im Klassenzimmer rennen.,You are not allowed to run in the classroom.,,,du darfst nicht,,
rauchen,to smoke,DE,school_jobs_future,school_rules,verb,KS3,"Es ist verboten, in der Schule zu rauchen.",Smoking is forbidden in the school.,,,rauchen,,
in den Gängen rennen,to run in the corridors,DE,school_jobs_future,school_rules,verb_phrase,KS3,Man darf nicht in den Gängen rennen.,One must not run in the corridors.,,,in den Gängen rennen,,
das Handy im Unterricht benutzen,to use the mobile in class,DE,school_jobs_future,school_rules,verb_phrase,KS3,"Es ist verboten, das Handy im Unterricht zu benutzen.",Using mobile phones in class is forbidden.,,,das Handy im Unterricht benutzen,,
Uniform tragen,to wear uniform,DE,school_jobs_future,school_rules,verb_phrase,KS3,Du musst jeden Tag Uniform tragen.,You must wear uniform every day.,,,Uniform tragen,,
Make-up tragen,to wear makeup,DE,school_jobs_future,school_rules,verb_phrase,KS3,"Es ist verboten, Make-up zu tragen.",Wearing makeup is forbidden.,,,Make-up tragen,,
Schmuck und Piercings tragen,to wear jewelry and piercings,DE,school_jobs_future,school_rules,verb_phrase,KS3,"Es ist verboten, Schmuck und Piercings zu tragen.",Wearing jewelry and piercings is forbidden.,,,Schmuck und Piercings tragen,,
dem Lehrer zuhören,to listen to the teacher,DE,school_jobs_future,school_rules,verb_phrase,KS3,Die Schüler müssen dem Lehrer zuhören.,Students must listen to the teacher.,,,dem Lehrer zuhören,,
pünktlich sein,to be punctual,DE,school_jobs_future,school_rules,verb_phrase,KS3,"Es ist wichtig, pünktlich zum Unterricht zu sein.",It is important to be punctual for classes.,,,pünktlich sein,,
Kaugummi kauen,to chew gum,DE,school_jobs_future,school_rules,verb_phrase,KS3,Man darf im Unterricht keinen Kaugummi kauen.,Chewing gum in class is not permitted.,,,Kaugummi kauen,,
die Schule verlassen,to leave school (during school hours),DE,school_jobs_future,school_rules,verb_phrase,KS3,Man darf die Schule während des Schultags nicht verlassen.,One must not leave the school during the school day.,,,die Schule verlassen,,
unhöflich sein,to be rude,DE,school_jobs_future,school_rules,verb_phrase,KS3,Die Schüler dürfen nicht unhöflich sein.,Students must not be rude.,,,unhöflich sein,,
ungehorsam sein,to be disobedient,DE,school_jobs_future,school_rules,verb_phrase,KS3,"Es ist wichtig, nicht ungehorsam zu sein.",It is important not to be disobedient.,,,ungehorsam sein,,
Regeln respektieren,to respect the rules,DE,school_jobs_future,school_rules,verb_phrase,KS3,Man muss die Schulregeln respektieren.,One must respect the school rules.,,,Regeln respektieren,,
Hausaufgaben pünktlich abgeben,to hand in homework on time,DE,school_jobs_future,school_rules,verb_phrase,KS3,Du musst deine Hausaufgaben pünktlich abgeben.,You must hand in homework on time.,,,Hausaufgaben pünktlich abgeben,,
im Unterricht sprechen,to talk in class,DE,school_jobs_future,school_rules,verb_phrase,KS3,"Es ist nicht erlaubt, ohne Erlaubnis im Unterricht zu sprechen.",Talking in class without permission is not allowed.,,,im Unterricht sprechen,,
elektronische Geräte benutzen,to use electronic devices,DE,school_jobs_future,school_rules,verb_phrase,KS3,"Es ist verboten, elektronische Geräte bei Prüfungen zu benutzen.",Using electronic devices in exams is forbidden.,,,elektronische Geräte benutzen,,
el arte,art,ES,school_jobs_future,school_subjects,noun,KS3,Me encanta el arte.,I love art.,m,el,el arte,,
la biología,biology,ES,school_jobs_future,school_subjects,noun,KS3,Estudiamos la biología en ciencias.,We study biology in science.,f,la,la biología,,
la química,chemistry,ES,school_jobs_future,school_subjects,noun,KS3,La química es una ciencia interesante.,Chemistry is an interesting science.,f,la,la química,,
las ciencias,science(s),ES,school_jobs_future,school_subjects,noun,KS3,Las ciencias son importantes.,Sciences are important.,f,las,las ciencias,,
la informática,ICT / computer science,ES,school_jobs_future,school_subjects,noun,KS3,La informática es muy útil hoy en día.,ICT is very useful nowadays.,f,la,la informática,,
la educación,education,ES,school_jobs_future,school_subjects,noun,KS3,La educación es clave para el futuro.,Education is key for the future.,f,la,la educación,,
la educación física,PE / physical education,ES,school_jobs_future,school_subjects,noun,KS3,La educación física es divertida.,PE is fun.,f,la,la educación física,,
el inglés,English,ES,school_jobs_future,school_subjects,noun,KS3,Mi asignatura favorita es el inglés.,My favorite subject is English.,m,el,el inglés,,
el español,ES,school_jobs_future,school_subjects,noun,KS3,Aprendemos español en la escuela.,We learn ES at school.,m,el,el español,,,
el francés,FR,ES,school_jobs_future,school_subjects,noun,KS3,El francés es una lengua bonita.,FR is a beautiful language.,m,el,el francés,,
el alemán,DE,school_jobs_future,school_subjects,noun,KS3,El alemán es un poco difícil.,DE is a bit difficult.,m,el,el alemán,,,
la geografía,geography,ES,school_jobs_future,school_subjects,noun,KS3,La geografía nos enseña sobre el mundo.,Geography teaches us about the world.,f,la,la geografía,,
la historia,history,ES,school_jobs_future,school_subjects,noun,KS3,La historia es mi asignatura preferida.,History is my favorite subject.,f,la,la historia,,
las matemáticas,maths,ES,school_jobs_future,school_subjects,noun,KS3,Las matemáticas pueden ser un reto.,Maths can be a challenge.,f,las,las matemáticas,,
la música,music,ES,school_jobs_future,school_subjects,noun,KS3,Toco la guitarra en la clase de música.,I play the guitar in music class.,f,la,la música,,
la física,physics,ES,school_jobs_future,school_subjects,noun,KS3,La física es parte de las ciencias.,Physics is part of science.,f,la,la física,,
la tecnología,technology,ES,school_jobs_future,school_subjects,noun,KS3,La tecnología avanza muy rápido.,Technology advances very quickly.,f,la,la tecnología,,
la asignatura,subject (school),ES,school_jobs_future,school_subjects,noun,KS3,¿Cuál es tu asignatura favorita?,What is your favorite subject?,f,la,la asignatura,,
l'art,art,FR,school_jobs_future,school_subjects,noun,KS3,J'aime l'art.,I like art.,m,l',l'art,,
la biologie,biology,FR,school_jobs_future,school_subjects,noun,KS3,Nous étudions la biologie en sciences.,We study biology in science.,f,la,la biologie,,
la chimie,chemistry,FR,school_jobs_future,school_subjects,noun,KS3,La chimie est une science intéressante.,Chemistry is an interesting science.,f,la,la chimie,,
les sciences,science,FR,school_jobs_future,school_subjects,noun,KS3,Les sciences sont importantes.,Science is important.,f,les,les sciences,,
l'informatique,computer science / ICT,FR,school_jobs_future,school_subjects,noun,KS3,L'informatique est très utile aujourd'hui.,Computer science is very useful today.,f,l',l'informatique,,
l'éducation,education,FR,school_jobs_future,school_subjects,noun,KS3,L'éducation est la clé de l'avenir.,Education is key for the future.,f,l',l'éducation,,
l'éducation physique / l'EPS,PE / physical education,FR,school_jobs_future,school_subjects,noun,KS3,L'EPS est amusante.,PE is fun.,f,l',l'éducation physique,,
l'anglais,English,FR,school_jobs_future,school_subjects,noun,KS3,Ma matière préférée est l'anglais.,My favorite subject is English.,m,l',l'anglais,,
l'espagnol,ES,FR,school_jobs_future,school_subjects,noun,KS3,Nous apprenons l'espagnol à l'école.,We learn ES at school.,m,l',l'espagnol,,
le français,FR,school_jobs_future,school_subjects,noun,KS3,Le français est une belle langue.,FR is a beautiful language.,m,le,le français,,,
l'allemand,DE,FR,school_jobs_future,school_subjects,noun,KS3,L'allemand est un peu difficile.,DE is a bit difficult.,m,l',l'allemand,,
la géographie,geography,FR,school_jobs_future,school_subjects,noun,KS3,La géographie nous apprend sur le monde.,Geography teaches us about the world.,f,la,la géographie,,
l'histoire,history,FR,school_jobs_future,school_subjects,noun,KS3,L'histoire est ma matière préférée.,History is my favorite subject.,f,l',l'histoire,,
les mathématiques / les maths,maths / mathematics,FR,school_jobs_future,school_subjects,noun,KS3,Les maths peuvent être un défi.,Maths can be a challenge.,f,les,les mathématiques,,
la musique,music,FR,school_jobs_future,school_subjects,noun,KS3,Je joue de la guitare en cours de musique.,I play the guitar in music class.,f,la,la musique,,
la philosophie,philosophy,FR,school_jobs_future,school_subjects,noun,KS3,La philosophie est étudiée au lycée.,Philosophy is studied in high school.,f,la,la philosophie,,
la physique,physics,FR,school_jobs_future,school_subjects,noun,KS3,La physique fait partie des sciences.,Physics is part of science.,f,la,la physique,,
la technologie,technology,FR,school_jobs_future,school_subjects,noun,KS3,La technologie avance très vite.,Technology advances very quickly.,f,la,la technologie,,
la matière,subject (school),FR,school_jobs_future,school_subjects,noun,KS3,Quelle est ta matière préférée ?,What is your favorite subject?,f,la,la matière,,
die Kunst,art,DE,school_jobs_future,school_subjects,noun,KS3,Ich mag Kunst.,I like art.,f,die,die Kunst,,
die Biologie,biology,DE,school_jobs_future,school_subjects,noun,KS3,Wir lernen Biologie in Naturwissenschaften.,We learn biology in science.,f,die,die Biologie,,
die Chemie,chemistry,DE,school_jobs_future,school_subjects,noun,KS3,Chemie ist ein interessantes Fach.,Chemistry is an interesting subject.,f,die,die Chemie,,
die Naturwissenschaften,science (plural),DE,school_jobs_future,school_subjects,noun,KS3,Naturwissenschaften sind wichtig.,Science is important.,f,die,die Naturwissenschaften,,
die Informatik,computer science / ICT,DE,school_jobs_future,school_subjects,noun,KS3,Informatik ist heutzutage sehr nützlich.,Computer science is very useful nowadays.,f,die,die Informatik,,
die Bildung,education,DE,school_jobs_future,school_subjects,noun,KS3,Bildung ist der Schlüssel zur Zukunft.,Education is key for the future.,f,die,die Bildung,,
der Sport,PE / physical education,DE,school_jobs_future,school_subjects,noun,KS3,Sport macht Spaß.,PE is fun.,m,der,der Sport,,
Englisch,English,DE,school_jobs_future,school_subjects,noun,KS3,Mein Lieblingsfach ist Englisch.,My favorite subject is English.,n,,Englisch,,
Spanisch,ES,DE,school_jobs_future,school_subjects,noun,KS3,Wir lernen Spanisch in der Schule.,We learn ES at school.,n,,Spanisch,,
Französisch,FR,DE,school_jobs_future,school_subjects,noun,KS3,Französisch ist eine schöne Sprache.,FR is a beautiful language.,n,,Französisch,,
Deutsch,DE,school_jobs_future,school_subjects,noun,KS3,Deutsch ist etwas schwierig.,DE is a bit difficult.,n,,Deutsch,,,
die Geografie,geography,DE,school_jobs_future,school_subjects,noun,KS3,Geografie lehrt uns über die Welt.,Geography teaches us about the world.,f,die,die Geografie,,
die Geschichte,history,DE,school_jobs_future,school_subjects,noun,KS3,Geschichte ist mein Lieblingsfach.,History is my favorite subject.,f,die,die Geschichte,,
Mathematik / Mathe,maths / mathematics,DE,school_jobs_future,school_subjects,noun,KS3,Mathematik kann eine Herausforderung sein.,Maths can be a challenge.,f,die,die Mathematik,,
die Musik,music,DE,school_jobs_future,school_subjects,noun,KS3,Ich spiele Gitarre im Musikunterricht.,I play the guitar in music class.,f,die,die Musik,,
die Philosophie,philosophy,DE,school_jobs_future,school_subjects,noun,KS3,Philosophie wird in der Oberstufe studiert.,Philosophy is studied in upper secondary school.,f,die,die Philosophie,,
die Physik,physics,DE,school_jobs_future,school_subjects,noun,KS3,Physik ist Teil der Naturwissenschaften.,Physics is part of science.,f,die,die Physik,,
die Technologie,technology,DE,school_jobs_future,school_subjects,noun,KS3,Technologie entwickelt sich sehr schnell.,Technology develops very quickly.,f,die,die Technologie,,
das Fach,subject (school),DE,school_jobs_future,school_subjects,noun,KS3,Was ist dein Lieblingsfach?,What is your favorite subject?,n,das,das Fach,,
ambicioso,ambitious (male),ES,school_jobs_future,qualities_skills,adjective,KS3,Es un estudiante ambicioso.,He is an ambitious student.,m,,ambicioso,,
ambiciosa,ambitious (female),ES,school_jobs_future,qualities_skills,adjective,KS3,Ella es muy ambiciosa.,She is very ambitious.,f,,ambiciosa,,
creativo,creative (male),ES,school_jobs_future,qualities_skills,adjective,KS3,Él es un diseñador creativo.,He is a creative designer.,m,,creativo,,
creativa,creative (female),ES,school_jobs_future,qualities_skills,adjective,KS3,Ella es muy creativa.,She is very creative.,f,,creativa,,
diligente,diligent (m/f),ES,school_jobs_future,qualities_skills,adjective,KS3,Es un alumno muy diligente.,He/She is a very diligent student.,,,diligente,,
flexible,flexible (m/f),ES,school_jobs_future,qualities_skills,adjective,KS3,Necesitamos un horario flexible.,We need a flexible schedule.,,,flexible,,
inteligente,intelligent (m/f),ES,school_jobs_future,qualities_skills,adjective,KS3,Ella es una chica muy inteligente.,She is a very intelligent girl.,,,inteligente,,
motivador,motivating (male),ES,school_jobs_future,qualities_skills,adjective,KS3,Es un líder muy motivador.,He is a very motivating leader.,m,,motivador,,
motivadora,motivating (female),ES,school_jobs_future,qualities_skills,adjective,KS3,Ella es una persona motivadora.,She is a motivating person.,f,,motivadora,,
organizado,organized (male),ES,school_jobs_future,qualities_skills,adjective,KS3,Él es muy organizado.,He is very organized.,m,,organizado,,
organizada,organized (female),school_jobs_future,qualities_skills,adjective,KS3,Ella es una persona organizada.,She is an organized person.,f,,organizada,,,
puntual,punctual (m/f),ES,school_jobs_future,qualities_skills,adjective,KS3,Es importante ser puntual.,It's important to be punctual.,,,puntual,,
responsable,responsible (m/f),ES,school_jobs_future,qualities_skills,adjective,KS3,Es un estudiante responsable.,He/She is a responsible student.,,,responsable,,
sociable,sociable (m/f),ES,school_jobs_future,qualities_skills,adjective,KS3,Él es muy sociable con todos.,He is very sociable with everyone.,,,sociable,,
trabajador,hardworking (male),ES,school_jobs_future,qualities_skills,adjective,KS3,Es un empleado trabajador.,He is a hardworking employee.,m,,trabajador,,
trabajadora,hardworking (female),ES,school_jobs_future,qualities_skills,adjective,KS3,Ella es una persona trabajadora.,She is a hardworking person.,f,,trabajadora,,
la habilidad,skill / ability,ES,school_jobs_future,qualities_skills,noun,KS3,La habilidad de leer es importante.,The ability to read is important.,f,la,la habilidad,,
la competencia,competence / skill,ES,school_jobs_future,qualities_skills,noun,KS3,Tiene buenas competencias en informática.,He/She has good computer skills.,f,la,la competencia,,
el talento,talent,ES,school_jobs_future,qualities_skills,noun,KS3,Tiene mucho talento para la música.,He/She has a lot of talent for music.,m,el,el talento,,
el conocimiento,knowledge,ES,school_jobs_future,qualities_skills,noun,KS3,El conocimiento es poder.,Knowledge is power.,m,el,el conocimiento,,
la experiencia,experience,ES,school_jobs_future,qualities_skills,noun,KS3,La experiencia es clave en este trabajo.,Experience is key in this job.,f,la,la experiencia,,
la acción,action,ES,school_jobs_future,learning_work_verbs,noun,KS3,Es hora de la acción.,It's time for action.,f,la,la acción,,
actuar,to act,ES,school_jobs_future,learning_work_verbs,verb,KS3,Debemos actuar de forma responsable.,We must act responsibly.,,,actuar,,
aplicar,to apply,ES,school_jobs_future,learning_work_verbs,verb,KS3,Aplico lo aprendido en mi vida.,I apply what I've learned in my life.,,,aplicar,,
aprender,to learn,ES,school_jobs_future,learning_work_verbs,verb,KS3,Me gusta aprender cosas nuevas.,I like to learn new things.,,,aprender,,
ayudar,to help,ES,school_jobs_future,learning_work_verbs,verb,KS3,Siempre intento ayudar a mis compañeros.,I always try to help my classmates.,,,ayudar,,
cambiar,to change,ES,school_jobs_future,learning_work_verbs,verb,KS3,Quieres cambiar tu horario?,Do you want to change your schedule?,,,cambiar,,
colaborar,to collaborate,ES,school_jobs_future,learning_work_verbs,verb,KS3,Nos gusta colaborar en proyectos.,We like to collaborate on projects.,,,colaborar,,
crear,to create,ES,school_jobs_future,learning_work_verbs,verb,KS3,Me gusta crear historias.,I like to create stories.,,,crear,,
desarrollar,to develop,ES,school_jobs_future,learning_work_verbs,verb,KS3,Quiero desarrollar mis habilidades.,I want to develop my skills.,,,desarrollar,,
enseñar,to teach,ES,school_jobs_future,learning_work_verbs,verb,KS3,Mi profesor enseña bien.,My teacher teaches well.,,,enseñar,,
estudiar,to study,ES,school_jobs_future,learning_work_verbs,verb,KS3,Necesito estudiar para el examen.,I need to study for the exam.,,,estudiar,,
mejorar,to improve,ES,school_jobs_future,learning_work_verbs,verb,KS3,Siempre intento mejorar.,I always try to improve.,,,mejorar,,
perseverar,to persevere,ES,school_jobs_future,learning_work_verbs,verb,KS3,Hay que perseverar para lograr metas.,One must persevere to achieve goals.,,,perseverar,,
progresar,to progress,ES,school_jobs_future,learning_work_verbs,verb,KS3,Espero progresar en mis estudios.,I hope to progress in my studies.,,,progresar,,
resolver,to solve,ES,school_jobs_future,learning_work_verbs,verb,KS3,Me gusta resolver problemas.,I like to solve problems.,,,resolver,,
trabajar,to work,ES,school_jobs_future,learning_work_verbs,verb,KS3,Trabajo duro en mis deberes.,I work hard on my homework.,,,trabajar,,
ambitieux,ambitious (male),FR,school_jobs_future,qualities_skills,adjective,KS3,C'est un élève ambitieux.,He is an ambitious student.,m,,ambitieux,,
ambitieuse,ambitious (female),FR,school_jobs_future,qualities_skills,adjective,KS3,Elle est très ambitieuse.,She is very ambitious.,f,,ambitieuse,,
créatif,creative (male),FR,school_jobs_future,qualities_skills,adjective,KS3,C'est un designer créatif.,He is a creative designer.,m,,créatif,,
créative,creative (female),FR,school_jobs_future,qualities_skills,adjective,KS3,Elle est très créative.,She is very creative.,f,,créative,,
diligent,diligent (male),FR,school_jobs_future,qualities_skills,adjective,KS3,C'est un élève très diligent.,He is a very diligent student.,m,,diligent,,
diligente,diligent (female),FR,school_jobs_future,qualities_skills,adjective,KS3,Elle est très diligente.,She is very diligent.,f,,diligente,,
flexible,flexible (m/f),FR,school_jobs_future,qualities_skills,adjective,KS3,Nous avons besoin d'un horaire flexible.,We need a flexible schedule.,,,flexible,,
intelligent,intelligent (male),FR,school_jobs_future,qualities_skills,adjective,KS3,Elle est une fille très intelligente.,She is a very intelligent girl.,m,,intelligent,,
intelligente,intelligent (female),FR,school_jobs_future,qualities_skills,adjective,KS3,Elle est très intelligente.,She is very intelligent.,f,,intelligente,,
motivant,motivating (male),FR,school_jobs_future,qualities_skills,adjective,KS3,C'est un leader très motivant.,He is a very motivating leader.,m,,motivant,,
motivante,motivating (female),FR,school_jobs_future,qualities_skills,adjective,KS3,Elle est une personne motivante.,She is a motivating person.,f,,motivante,,
organisé,organized (male),FR,school_jobs_future,qualities_skills,adjective,KS3,Il est très organisé.,He is very organized.,m,,organisé,,
organisée,organized (female),FR,school_jobs_future,qualities_skills,adjective,KS3,Elle est une personne organisée.,She is an organized person.,f,,organisée,,
ponctuel,punctual (male),FR,school_jobs_future,qualities_skills,adjective,KS3,Il est important d'être ponctuel.,It's important to be punctual.,m,,ponctuel,,
ponctuelle,punctual (female),FR,school_jobs_future,qualities_skills,adjective,KS3,Elle est toujours ponctuelle.,She is always punctual.,f,,ponctuelle,,
responsable,responsible (m/f),FR,school_jobs_future,qualities_skills,adjective,KS3,C'est un élève responsable.,He/She is a responsible student.,,,responsable,,
sociable,sociable (m/f),FR,school_jobs_future,qualities_skills,adjective,KS3,Il est très sociable avec tout le monde.,He is very sociable with everyone.,,,sociable,,
travailleur,hardworking (male),FR,school_jobs_future,qualities_skills,adjective,KS3,C'est un employé travailleur.,He is a hardworking employee.,m,,travailleur,,
travailleuse,hardworking (female),FR,school_jobs_future,qualities_skills,adjective,KS3,Elle est une personne travailleuse.,She is a hardworking person.,f,,travailleuse,,
la capacité,ability,FR,school_jobs_future,qualities_skills,noun,KS3,La capacité de lire est importante.,The ability to read is important.,f,la,la capacité,,
la compétence,competence / skill,FR,school_jobs_future,qualities_skills,noun,KS3,Il a de bonnes compétences en informatique.,He/She has good computer skills.,f,la,la compétence,,
le talent,talent,FR,school_jobs_future,qualities_skills,noun,KS3,Il a beaucoup de talent pour la musique.,He/She has a lot of talent for music.,m,le,le talent,,
la connaissance,knowledge,FR,school_jobs_future,qualities_skills,noun,KS3,La connaissance est le pouvoir.,Knowledge is power.,f,la,la connaissance,,
l'expérience,experience,FR,school_jobs_future,qualities_skills,noun,KS3,L'expérience est essentielle dans ce travail.,Experience is key in this job.,f,l',l'expérience,,
l'action,action,FR,school_jobs_future,learning_work_verbs,noun,KS3,Il est temps d'agir.,It's time for action.,f,l',l'action,,
agir,to act,FR,school_jobs_future,learning_work_verbs,verb,KS3,Nous devons agir de manière responsable.,We must act responsibly.,,,agir,,
postuler,to apply (for a job),FR,school_jobs_future,learning_work_verbs,verb,KS3,Je veux postuler pour ce poste.,I want to apply for this position.,,,postuler,,
apprendre,to learn,FR,school_jobs_future,learning_work_verbs,verb,KS3,J'aime apprendre de nouvelles choses.,I like to learn new things.,,,apprendre,,
aider,to help,FR,school_jobs_future,learning_work_verbs,verb,KS3,J'essaie toujours d'aider mes camarades.,I always try to help my classmates.,,,aider,,
changer,to change,FR,school_jobs_future,learning_work_verbs,verb,KS3,Tu veux changer ton horaire ?,Do you want to change your schedule?,,,changer,,
collaborer,to collaborate,FR,school_jobs_future,learning_work_verbs,verb,KS3,Nous aimons collaborer sur des projets.,We like to collaborate on projects.,,,collaborer,,
créer,to create,FR,school_jobs_future,learning_work_verbs,verb,KS3,J'aime créer des histoires.,I like to create stories.,,,créer,,
développer,to develop,FR,school_jobs_future,learning_work_verbs,verb,KS3,Je veux développer mes compétences.,I want to develop my skills.,,,développer,,
enseigner,to teach,FR,school_jobs_future,learning_work_verbs,verb,KS3,Mon professeur enseigne bien.,My teacher teaches well.,,,enseigner,,
étudier,to study,FR,school_jobs_future,learning_work_verbs,verb,KS3,Je dois étudier pour l'examen.,I have to study for the exam.,,,étudier,,
améliorer,to improve,FR,school_jobs_future,learning_work_verbs,verb,KS3,J'essaie toujours de m'améliorer.,I always try to improve.,,,améliorer,,
persévérer,to persevere,FR,school_jobs_future,learning_work_verbs,verb,KS3,Il faut persévérer pour atteindre ses objectifs.,One must persevere to achieve one's goals.,,,persévérer,,
progresser,to progress,FR,school_jobs_future,learning_work_verbs,verb,KS3,J'espère progresser dans mes études.,I hope to progress in my studies.,,,progresser,,
